cnpj,empresa_porte
34432153000391,GRANDE
34627373000109,GRANDE
35285104000417,GRANDE
38265391000149,GRANDE
38456921000136,GRANDE
45242914000105,GRANDE
45453214000151,GRANDE
47960950077779,GRANDE
51218147000193,GRANDE
59717553000102,GRANDE
60398369000479,GRANDE
60651809000105,GRANDE
60770336000165,GRANDE
61024352000171,GRANDE
61409892000173,GRANDE
61584140000149,GRANDE
71476527000135,GRANDE
76506302001099,GRANDE
86550951000150,GRANDE
92665611000177,GRANDE
10285590000108,GRANDE
10835932000108,GRANDE
11421994000136,GRANDE
12108897000150,GRANDE
12162104000181,GRANDE
17193806000146,GRANDE
17281106000103,GRANDE
18174270000184,GRANDE
18867781000262,GRANDE
20247322000147,GRANDE
22677520000176,GRANDE
24990777000109,GRANDE
26462693000128,GRANDE
27093558000115,GRANDE
30977457000111,GRANDE
33042730000104,GRANDE
33113309000147,GRANDE
34274233000102,GRANDE
36542025000164,GRANDE
42331462000131,GRANDE
49717572000266,GRANDE
53113791001102,GRANDE
54965181000977,GRANDE
58119199000151,GRANDE
60476884000187,GRANDE
60851615000153,GRANDE
60884319000159,GRANDE
61064929013238,GRANDE
61092037000181,GRANDE
61374161000130,GRANDE
61856571000117,GRANDE
67571414000141,GRANDE
81382525000483,GRANDE
84693183000168,GRANDE
92660570000126,GRANDE
95426862000197,GRANDE
12049631000184,GRANDE
12130744000100,GRANDE
13495487000253,GRANDE
15101405000193,GRANDE
16590234007340,GRANDE
16963203000113,GRANDE
18510982000470,GRANDE
20370747000220,GRANDE
20956655000145,GRANDE
22415800000106,GRANDE
23457209000184,GRANDE
31819039000169,GRANDE
33035536000100,GRANDE
33040601000187,GRANDE
33592510000154,GRANDE
33839910000111,GRANDE
41336406000127,GRANDE
43774929000180,GRANDE
43776517000180,GRANDE
47508411271001,GRANDE
49034200001398,GRANDE
49669856000143,GRANDE
49930514130349,GRANDE
57742959001787,GRANDE
59418806000147,GRANDE
60500139000126,GRANDE
60537263044538,GRANDE
60543816000193,GRANDE
60746948392959,GRANDE
60840055000131,GRANDE
60933603000178,GRANDE
61022042000118,GRANDE
61186680000174,GRANDE
61351532000168,GRANDE
62002886000160,GRANDE
64904295000103,GRANDE
75315333000109,GRANDE
82640558000104,GRANDE
84683408000103,GRANDE
89096457000155,GRANDE
92693019000189,GRANDE
92791243000103,GRANDE
98338072006340,GRANDE
10739356000103,GRANDE
10760260000119,GRANDE
10807374000177,GRANDE
11517841004508,GRANDE
12539343000108,GRANDE
15141799000103,GRANDE
15474560000155,GRANDE
15527906000136,GRANDE
16959803000108,GRANDE
17245234000100,GRANDE
17314329000120,GRANDE
19256550000102,GRANDE
22266175000188,GRANDE
22422172000196,GRANDE
33000167000101,GRANDE
33228024000151,GRANDE
33349473001553,GRANDE
33541368004707,GRANDE
33544362000100,GRANDE
33938119000169,GRANDE
34256075000150,GRANDE
43185362000107,GRANDE
44708195000102,GRANDE
59105999000186,GRANDE
59981829000165,GRANDE
60537263000166,GRANDE
61065298000102,GRANDE
61065751000180,GRANDE
61156113000175,GRANDE
61156931000178,GRANDE
61189288000189,GRANDE
67620377000114,GRANDE
73178600000118,GRANDE
76627504000106,GRANDE
90076886000140,GRANDE
93720464021312,GRANDE
97837181000147,GRANDE
11669021000110,GRANDE
13009717000146,GRANDE
13217485000111,GRANDE
13772125000424,GRANDE
14785152000151,GRANDE
15144017000190,GRANDE
15253399000351,GRANDE
16620098000209,GRANDE
17469701013821,GRANDE
18154414000130,GRANDE
18494485000182,GRANDE
19853511000184,GRANDE
20258278000170,GRANDE
24082236000182,GRANDE
30252859005207,GRANDE
30540991000166,GRANDE
33050071000158,GRANDE
33412081000196,GRANDE
37663076000107,GRANDE
37867882000105,GRANDE
40621977000140,GRANDE
40832572000151,GRANDE
40916519000139,GRANDE
42150391000170,GRANDE
43470988000165,GRANDE
48436158000135,GRANDE
49263189000102,GRANDE
51928174000150,GRANDE
60730348000166,GRANDE
61079117000105,GRANDE
61219077002004,GRANDE
61486650000264,GRANDE
61532644000115,GRANDE
76483817000120,GRANDE
76484013000145,GRANDE
76535764000143,GRANDE
78876950000171,GRANDE
82667452000358,GRANDE
84429695000111,GRANDE
84683671000194,GRANDE
90400888000142,GRANDE
91333666000117,GRANDE
92715812000131,GRANDE
92754738000162,GRANDE
92781335000102,GRANDE
92953967001501,GRANDE
96418264021802,GRANDE
10338320000100,GRANDE
10491461000320,GRANDE
13646926000109,GRANDE
14127813000151,GRANDE
17155730000164,GRANDE
17344597000194,GRANDE
18328118000109,GRANDE
18546814000191,GRANDE
18722171000190,GRANDE
19378769000176,GRANDE
19796586000170,GRANDE
23963285000161,GRANDE
29246963000232,GRANDE
30213493000109,GRANDE
31553627000101,GRANDE
32785497000197,GRANDE
33041260065290,GRANDE
33111246000190,GRANDE
33200049000147,GRANDE
33376989000191,GRANDE
33386210000119,GRANDE
35768752000181,GRANDE
36322224000167,GRANDE
42845855000163,GRANDE
45554710000100,GRANDE
50746577000115,GRANDE
50926955000142,GRANDE
53113791000122,GRANDE
56720428000163,GRANDE
60746948678178,GRANDE
61088894000108,GRANDE
61585865282890,GRANDE
62144175000120,GRANDE
85778074000106,GRANDE
86375425000109,GRANDE
89463822000112,GRANDE
89637490000145,GRANDE
89850341000160,GRANDE
92690783000109,GRANDE
94813102000170,GRANDE
97191902000194,GRANDE
10139870000108,GRANDE
10882594001137,GRANDE
11433190007160,GRANDE
12104241000402,GRANDE
14217343000117,GRANDE
14603843000278,GRANDE
14807945000124,GRANDE
16233389000155,GRANDE
16438624000125,GRANDE
16590234000176,GRANDE
26659061000159,GRANDE
29744778628552,GRANDE
29744778988095,GRANDE
30723886000162,GRANDE
33041260129795,GRANDE
33453598000123,GRANDE
35351429000108,GRANDE
35814889000125,GRANDE
40337136000106,GRANDE
40432544087242,GRANDE
44691910000133,GRANDE
48031918001449,GRANDE
56643018000166,GRANDE
57382889002775,GRANDE
60746948723904,GRANDE
61486650000183,GRANDE
62584545003912,GRANDE
82901000000127,GRANDE
83878892000155,GRANDE
87456562000122,GRANDE
89086144000116,GRANDE
90441460000148,GRANDE
92749225000163,GRANDE
11547008000350,GRANDE
11721921000160,GRANDE
11725176000127,GRANDE
13785195002037,GRANDE
16670085000155,GRANDE
21314559000166,GRANDE
24962466000136,GRANDE
28006793000175,GRANDE
29744778437889,GRANDE
30519412000101,GRANDE
33102476000192,GRANDE
33467572000134,GRANDE
33961147000105,GRANDE
42771949000135,GRANDE
43776517091800,GRANDE
48292305000140,GRANDE
51427102052277,GRANDE
60637238000154,GRANDE
61012019052290,GRANDE
62984091000102,GRANDE
67534560000440,GRANDE
80227184000166,GRANDE
82508433000117,GRANDE
10629105000168,GRANDE
11315804004274,GRANDE
12091809000155,GRANDE
15115504000124,GRANDE
15437294000190,GRANDE
17167412000113,GRANDE
19924724000150,GRANDE
26345998000150,GRANDE
30306294000145,GRANDE
33041260210649,GRANDE
33286304000116,GRANDE
36638113000164,GRANDE
39351803000126,GRANDE
45468758000197,GRANDE
77294254009140,GRANDE
88613658000110,GRANDE
92012467000170,GRANDE
11061102000133,MEDIA
11571425000177,MEDIA
12019612000458,MEDIA
12127823000161,MEDIA
13056348000142,MEDIA
15284637000124,MEDIA
16520265000231,MEDIA
19526748000150,MEDIA
27082039000151,MEDIA
32635499000361,MEDIA
33438250003000,MEDIA
33931108001048,MEDIA
34631075000192,MEDIA
40698580000157,MEDIA
40726261000108,MEDIA
46678106000140,MEDIA
47152983000145,MEDIA
51479996000281,MEDIA
59213587000160,MEDIA
85096097000130,MEDIA
90657289007464,MEDIA
93534238000188,MEDIA
10220625000112,MEDIA
10830108000165,MEDIA
10987568000100,MEDIA
11429988000206,MEDIA
13581832000190,MEDIA
14205010000178,MEDIA
14392514000144,MEDIA
16823350000198,MEDIA
17907021000198,MEDIA
18269838000140,MEDIA
19292066000120,MEDIA
20429916000179,MEDIA
21237628001580,MEDIA
22393496000143,MEDIA
28028116000158,MEDIA
29166485000170,MEDIA
29744778990740,MEDIA
30967492000150,MEDIA
32856241000123,MEDIA
33333716000240,MEDIA
38824283000169,MEDIA
40019940000570,MEDIA
41015400000158,MEDIA
43240976000144,MEDIA
61412110078006,MEDIA
77281459000305,MEDIA
77772168002355,MEDIA
79460754000184,MEDIA
88212113034853,MEDIA
90603689000808,MEDIA
96662168032769,MEDIA
11992680003370,MEDIA
15505664001402,MEDIA
15506765000175,MEDIA
19451038004015,MEDIA
23394032000114,MEDIA
26232767000130,MEDIA
26743708000398,MEDIA
31575186000998,MEDIA
33623885000304,MEDIA
34131834000158,MEDIA
40063129000163,MEDIA
41638885000136,MEDIA
42554637000170,MEDIA
42622791000131,MEDIA
43145502000113,MEDIA
43775043000151,MEDIA
45092744000111,MEDIA
46955768000110,MEDIA
47909622000109,MEDIA
53966834006153,MEDIA
60917820000174,MEDIA
62955505124729,MEDIA
83742338000499,MEDIA
87548848000138,MEDIA
87762563000103,MEDIA
11193998000295,MEDIA
12035377000165,MEDIA
12044291000107,MEDIA
12066658000266,MEDIA
12115349000158,MEDIA
17672144000197,MEDIA
17893964001180,MEDIA
21807881000208,MEDIA
23981211000409,MEDIA
26047068000110,MEDIA
27996665000153,MEDIA
30499877000130,MEDIA
35791391000194,MEDIA
37358744000192,MEDIA
88212113100074,MEDIA
10399001000104,MEDIA
11808430000150,MEDIA
13503389001616,MEDIA
15054550000160,MEDIA
15062695000103,MEDIA
15628873000382,MEDIA
17048475000150,MEDIA
18317804000184,MEDIA
20723156000108,MEDIA
27097997000287,MEDIA
27735448001009,MEDIA
28917748001225,MEDIA
29905219000111,MEDIA
36377159000177,MEDIA
36858203000160,MEDIA
36939921000161,MEDIA
38310211000101,MEDIA
40355164000660,MEDIA
41469178000163,MEDIA
45498851000144,MEDIA
47636268000188,MEDIA
50400407000770,MEDIA
54794193000129,MEDIA
71961049000825,MEDIA
10327255000389,MEDIA
11018748004125,MEDIA
12157467011759,MEDIA
12939461000456,MEDIA
14015755000174,MEDIA
14710577000100,MEDIA
14861668000138,MEDIA
15194590000108,MEDIA
16575826000119,MEDIA
17002750000103,MEDIA
17887699000156,MEDIA
19882117000174,MEDIA
21922850001512,MEDIA
22584798000107,MEDIA
23243506000127,MEDIA
27207554000200,MEDIA
29197224000117,MEDIA
32832053000165,MEDIA
44604223000133,MEDIA
47421100000155,MEDIA
51232221000550,MEDIA
73140386000100,MEDIA
78827987000100,MEDIA
81615627001473,MEDIA
82643537000134,MEDIA
82837329000257,MEDIA
83141044000835,MEDIA
11137051004254,MEDIA
11137051058508,MEDIA
12240177000144,MEDIA
15702040000233,MEDIA
16370508001193,MEDIA
16942093000103,MEDIA
27149026000152,MEDIA
29166668000195,MEDIA
29534476000194,MEDIA
29787518000107,MEDIA
34369141000106,MEDIA
45587605000169,MEDIA
46312619000213,MEDIA
47686116000190,MEDIA
56992423000190,MEDIA
77325488000402,MEDIA
80253446002968,MEDIA
11114284029145,MEDIA
11677283000127,MEDIA
12361585000154,MEDIA
16422576000187,MEDIA
21692212000157,MEDIA
22629811000431,MEDIA
27045729000130,MEDIA
28032205000178,MEDIA
29334919000527,MEDIA
31438023000106,MEDIA
36095175000258,MEDIA
39803323000159,MEDIA
42363924000100,MEDIA
43775092000194,MEDIA
53718797000638,MEDIA
61012019134696,MEDIA
64618770000185,MEDIA
68313063000212,MEDIA
79743837000776,MEDIA
88212113086578,MEDIA
89717409000137,MEDIA
91418467000101,MEDIA
12269387000599,MEDIA
14876090000193,MEDIA
17408407000155,MEDIA
22753834000534,MEDIA
23492713000115,MEDIA
23857945000120,MEDIA
30690408000101,MEDIA
33313195000189,MEDIA
34276346000139,MEDIA
38001693000100,MEDIA
40059910000164,MEDIA
43999164000420,MEDIA
44686796000153,MEDIA
45096989002918,MEDIA
47708835000164,MEDIA
50940048000310,MEDIA
54458625000120,MEDIA
61082004000150,MEDIA
62245881000400,MEDIA
96662168029032,MEDIA
97515480000165,MEDIA
11462723000129,MEDIA
13574594024109,MEDIA
14842213000418,MEDIA
16695665000105,MEDIA
22763502000379,MEDIA
26614309000165,MEDIA
28301775000116,MEDIA
29366549000267,MEDIA
31089008000280,MEDIA
34128330000189,MEDIA
34693984000155,MEDIA
37008095000108,MEDIA
39767816000180,MEDIA
40143085000181,MEDIA
41069303000300,MEDIA
42017297000148,MEDIA
44555369000217,MEDIA
46896270000123,MEDIA
47368829000105,MEDIA
48029312000154,MEDIA
54210471000234,MEDIA
57334237001521,MEDIA
13584130000594,MEDIA
21253729001464,MEDIA
21718501000188,MEDIA
26526306000170,MEDIA
32415890000865,MEDIA
33565254000106,MEDIA
41085271000174,MEDIA
41142377000162,MEDIA
42104133000158,MEDIA
44661126000182,MEDIA
47906799000143,MEDIA
98039795000146,MEDIA
10406084000111,MEI
11580509000177,MEI
11653835000167,MEI
11755953000186,MEI
11973508000192,MEI
11992487000152,MEI
12084928000180,MEI
12382307000183,MEI
12392269000140,MEI
12450948000128,MEI
12579681000173,MEI
12686207000140,MEI
12703267000124,MEI
12716779000125,MEI
12836221000183,MEI
12860819000108,MEI
12976749000158,MEI
12995143000160,MEI
13171869000140,MEI
13347698000168,MEI
13440564000197,MEI
13450764000120,MEI
13533967000180,MEI
13574014000160,MEI
13814957000113,MEI
14016907000153,MEI
14039205000195,MEI
14178274000180,MEI
14321520000100,MEI
14323057000136,MEI
14693046000148,MEI
15169184000195,MEI
15184744000180,MEI
15284251000112,MEI
15599922000134,MEI
15665711000152,MEI
15742359000101,MEI
15868256000192,MEI
15912456000103,MEI
16514810000104,MEI
16543172000141,MEI
16869122000159,MEI
16938547000172,MEI
17150436000160,MEI
17235994000128,MEI
17377165000180,MEI
17420553000104,MEI
17706229000149,MEI
17794890000153,MEI
17904510000196,MEI
18074613000139,MEI
18277036000182,MEI
18506223000190,MEI
18695484000104,MEI
18839123000186,MEI
18982856000175,MEI
19013647000186,MEI
19039480000122,MEI
19112197000189,MEI
19120173000171,MEI
19224637000190,MEI
19426613000113,MEI
19472001000167,MEI
19570178000104,MEI
19620615000149,MEI
19696638000137,MEI
19728288000143,MEI
19744821000160,MEI
20029751000148,MEI
20050763000154,MEI
20068646000118,MEI
20477561000193,MEI
20626173000127,MEI
20952445000189,MEI
21069343000182,MEI
21086819000193,MEI
21151721000172,MEI
21268868000147,MEI
21351364000196,MEI
21423357000152,MEI
21685068000121,MEI
21735007000121,MEI
21794791000149,MEI
21824829000189,MEI
21964289000139,MEI
21976760000109,MEI
22096790000193,MEI
22176426000133,MEI
22208241000163,MEI
22262188000189,MEI
22262812000148,MEI
22319254000100,MEI
22362166000190,MEI
22362868000174,MEI
22494259000179,MEI
22494669000110,MEI
22762211000102,MEI
22855254000124,MEI
22887934000120,MEI
22917700000188,MEI
22949375000135,MEI
22958687000105,MEI
22970813000147,MEI
22989912000170,MEI
23283758000180,MEI
23321445000179,MEI
23406904000117,MEI
23522395000198,MEI
23652531000164,MEI
23825390000134,MEI
23963501000179,MEI
24059397000155,MEI
24073698000133,MEI
24075322000168,MEI
24146039000180,MEI
24148747000150,MEI
24280186000148,MEI
24391778000137,MEI
24446138000187,MEI
24471937000103,MEI
24471994000192,MEI
24652431000109,MEI
24743041000136,MEI
24773047000156,MEI
24784576000155,MEI
24845143000162,MEI
25096869000102,MEI
25147202000191,MEI
25171445000165,MEI
25251355000184,MEI
25280516000168,MEI
25350798000122,MEI
25399517000126,MEI
25450340000145,MEI
25737578000156,MEI
25994886000167,MEI
25995145000109,MEI
26142395000150,MEI
26151430000106,MEI
26173095000139,MEI
26215177000107,MEI
26272634000197,MEI
26320297000166,MEI
26365485000100,MEI
26496474000160,MEI
26609804000186,MEI
26615965000182,MEI
26736112000107,MEI
26748031000119,MEI
26800057000169,MEI
26816626000164,MEI
26867877000178,MEI
26878088000132,MEI
26941343000144,MEI
26976693000146,MEI
26988887000161,MEI
27223300000196,MEI
27228546000150,MEI
27301960000148,MEI
27356380000158,MEI
27365484000129,MEI
27394629000110,MEI
27480083000110,MEI
27484305000172,MEI
27556390000137,MEI
27578807000162,MEI
27614848000167,MEI
27837394000193,MEI
28064187000106,MEI
28099351000110,MEI
28226759000106,MEI
28291031000168,MEI
28324869000100,MEI
28554577000164,MEI
28596511000137,MEI
28826074000109,MEI
28841348000120,MEI
29016616000132,MEI
29031771000128,MEI
29092209000104,MEI
29212200000190,MEI
29224222000170,MEI
29299250000156,MEI
29359596000100,MEI
29444358000195,MEI
29696258000156,MEI
29733065000128,MEI
29746501000101,MEI
29854450000123,MEI
29857872000152,MEI
29904774000129,MEI
29988450000116,MEI
30002533000173,MEI
30081627000185,MEI
30118089000156,MEI
30228521000161,MEI
30452272000193,MEI
30471392000138,MEI
30622134000105,MEI
30628959000137,MEI
30685316000125,MEI
30714040000166,MEI
30731886000104,MEI
30866287000106,MEI
30885882000180,MEI
30912084000109,MEI
31001732000120,MEI
31050991000140,MEI
31117520000102,MEI
31125649000162,MEI
31185477000112,MEI
31200345000112,MEI
31301744000170,MEI
31319170000167,MEI
31362113000160,MEI
31400157000138,MEI
31578837000146,MEI
31649705000168,MEI
31742758000129,MEI
31754576000178,MEI
31812000000110,MEI
31841898000154,MEI
31882534000112,MEI
31895510000106,MEI
31917480000183,MEI
31979117000192,MEI
32001552000100,MEI
32122101000121,MEI
32175891000103,MEI
32261761000193,MEI
32331869000105,MEI
32345362000100,MEI
32445138000190,MEI
32459797000186,MEI
32467397000112,MEI
32479641000167,MEI
32560900000180,MEI
32648231000100,MEI
32669395000106,MEI
32777349000120,MEI
32966049000190,MEI
32991061000154,MEI
33026779000173,MEI
33117824000103,MEI
33183890000173,MEI
33196851000100,MEI
33231084000123,MEI
33258201000142,MEI
33267544000173,MEI
33280674000146,MEI
33281203000152,MEI
33311113000167,MEI
33339337000187,MEI
33395014000100,MEI
33445758000192,MEI
33464420000188,MEI
33536568000180,MEI
33581881000130,MEI
33589500000160,MEI
33590439000170,MEI
33620913000160,MEI
33622818000103,MEI
33669394000124,MEI
33721716000137,MEI
33834488000101,MEI
33875355000183,MEI
33880471000190,MEI
34007638000176,MEI
34056662000103,MEI
34056792000138,MEI
34071517000193,MEI
34130879000108,MEI
34164667000141,MEI
34196985000194,MEI
34244974000132,MEI
34359500000136,MEI
34407215000143,MEI
34651261000193,MEI
34654869000171,MEI
34697544000176,MEI
34735026000108,MEI
34898955000120,MEI
34950269000150,MEI
34961426000123,MEI
34968265000108,MEI
34970130000179,MEI
34971737000173,MEI
35016838000158,MEI
35039428000122,MEI
35122700000133,MEI
35126134000138,MEI
35299897000180,MEI
35307703000141,MEI
35346561000121,MEI
35372968000123,MEI
35394475000194,MEI
35415349000179,MEI
35485787000103,MEI
35570493000180,MEI
35589797000199,MEI
35607371000110,MEI
35660723000100,MEI
35779348000103,MEI
35804299000111,MEI
35820071000115,MEI
35873790000102,MEI
35989758000189,MEI
35991883000123,MEI
35993083000141,MEI
36055145000137,MEI
36075115000192,MEI
36204464000167,MEI
36210044000193,MEI
36400898000132,MEI
36411822000102,MEI
36454664000178,MEI
36469634000135,MEI
36490933000151,MEI
36545740000150,MEI
36569905000124,MEI
36581761000121,MEI
36663389000100,MEI
36663850000117,MEI
36742266000157,MEI
36742832000120,MEI
36746368000140,MEI
36759822000106,MEI
36783480000151,MEI
36850794000120,MEI
36855848000140,MEI
36855899000171,MEI
36891468000160,MEI
36996520000143,MEI
37019376000158,MEI
37040666000183,MEI
37060739000107,MEI
37069429000145,MEI
37080616000120,MEI
37225639000185,MEI
37236581000175,MEI
37244180000167,MEI
37257993000191,MEI
37322453000144,MEI
37354704000172,MEI
37403149000121,MEI
37439364000182,MEI
37458629000190,MEI
37470469000102,MEI
37481820000152,MEI
37493121000122,MEI
37548858000103,MEI
37604564000143,MEI
37690618000130,MEI
37738925000144,MEI
37741969000123,MEI
37746875000147,MEI
37776144000144,MEI
37776268000120,MEI
37784918000189,MEI
37828479000169,MEI
37869979000149,MEI
37951920000103,MEI
38033455000186,MEI
38106242000137,MEI
38115918000159,MEI
38247308000109,MEI
38278774000151,MEI
38403118000133,MEI
38425510000183,MEI
38650366000189,MEI
38656572000104,MEI
38657552000140,MEI
38663436000133,MEI
38832061000198,MEI
39143750000158,MEI
39254942000131,MEI
39274669000107,MEI
39288680000126,MEI
39294057000186,MEI
39392960000180,MEI
39404945000104,MEI
39424398000129,MEI
39425704000141,MEI
39431912000153,MEI
39444072000163,MEI
39454267000194,MEI
39659880000148,MEI
39797129000108,MEI
39802093000103,MEI
39860497000153,MEI
39862207000100,MEI
39872282000152,MEI
39884828000195,MEI
39893691000135,MEI
39936848000162,MEI
39980007000152,MEI
39986008000104,MEI
39996577000130,MEI
39999108000175,MEI
40078292000108,MEI
40129294000170,MEI
40185529000141,MEI
40227667000146,MEI
40233817000124,MEI
40239158000133,MEI
40240391000136,MEI
40267305000189,MEI
40283287000129,MEI
40345152000140,MEI
40347538000191,MEI
40359269000183,MEI
40401506000127,MEI
40438441000194,MEI
40509637000122,MEI
40524113000100,MEI
40531630000107,MEI
40620341000184,MEI
40652181000155,MEI
40663060000109,MEI
40706267000113,MEI
40731591000191,MEI
40755919000100,MEI
40952470000170,MEI
40952882000100,MEI
40997182000131,MEI
41051800000119,MEI
41064111000149,MEI
41083088000130,MEI
41126856000195,MEI
41225305000189,MEI
41279355000149,MEI
41323701000149,MEI
41393008000142,MEI
41431549000118,MEI
41456827000191,MEI
41460326000189,MEI
41481421000169,MEI
41508205000160,MEI
41634145000121,MEI
41665400000101,MEI
41708273000172,MEI
41788956000187,MEI
41912685000120,MEI
41962121000100,MEI
41979684000100,MEI
42094353000148,MEI
42140114000187,MEI
42269024000190,MEI
42277275000117,MEI
42410288000112,MEI
42410394000104,MEI
42420781000113,MEI
42455653000105,MEI
42495109000197,MEI
42662299000190,MEI
42678928000170,MEI
42715829000110,MEI
42722023000150,MEI
42736373000175,MEI
42753910000195,MEI
42776417000190,MEI
42821184000109,MEI
42827724000153,MEI
42841929000193,MEI
42877652000159,MEI
42944616000160,MEI
42980213000177,MEI
43175861000113,MEI
43216854000112,MEI
43244550000169,MEI
43245267000151,MEI
43295818000191,MEI
43298688000140,MEI
43302709000154,MEI
43329389000126,MEI
43364435000128,MEI
43373854000126,MEI
43405960000144,MEI
43424831000101,MEI
43468942000101,MEI
43590759000184,MEI
43593255000118,MEI
43713158000111,MEI
43736551000120,MEI
43770146000129,MEI
43810687000133,MEI
43821435000100,MEI
43824787000119,MEI
43832496000172,MEI
43878158000171,MEI
43909315000169,MEI
43921027000120,MEI
43951943000102,MEI
43976191000134,MEI
44018614000176,MEI
44038027000149,MEI
44115278000180,MEI
44151000000168,MEI
44172649000165,MEI
44182685000100,MEI
44198884000106,MEI
44252048000162,MEI
44268547000148,MEI
44269655000135,MEI
44339831000168,MEI
44381693000185,MEI
44432905000106,MEI
44462378000182,MEI
44557780000140,MEI
44571835000177,MEI
44572369000144,MEI
44609996000102,MEI
44617606000146,MEI
44620850000168,MEI
44661336000170,MEI
44695950000153,MEI
44783007000100,MEI
44889740000104,MEI
45043557000148,MEI
45102146000186,MEI
45108884000130,MEI
45146350000107,MEI
45185961000156,MEI
45207449000163,MEI
45244385000170,MEI
45271208000183,MEI
45280471000139,MEI
45290402000106,MEI
45301162000106,MEI
45311635000148,MEI
45392148000157,MEI
45442476000110,MEI
45471355000105,MEI
45551059000106,MEI
45613010000130,MEI
45619047000176,MEI
45648328000157,MEI
45664421000155,MEI
45708656000100,MEI
45817912000199,MEI
45843077000161,MEI
45889092000140,MEI
45890614000124,MEI
45914217000145,MEI
45919729000102,MEI
45943298000101,MEI
46039738000163,MEI
46090761000182,MEI
46123434000180,MEI
46140187000120,MEI
46143874000107,MEI
46146872000163,MEI
46180896000139,MEI
46253097000145,MEI
46282390000130,MEI
46325522000164,MEI
46341867000101,MEI
46389472000189,MEI
46390056000109,MEI
46496914000196,MEI
46516905000110,MEI
46533484000135,MEI
46552991000116,MEI
46566370000191,MEI
46695486000120,MEI
46715039000196,MEI
46729135000193,MEI
46749061000157,MEI
46758073000148,MEI
46809296000197,MEI
46834277000110,MEI
46853656000158,MEI
46853797000170,MEI
46859084000114,MEI
46875116000175,MEI
46882266000106,MEI
46890440000162,MEI
46920261000120,MEI
46923075000145,MEI
46980408000178,MEI
47019818000110,MEI
47025245000137,MEI
47147819000140,MEI
47160329000183,MEI
47167578000109,MEI
47222402000102,MEI
47229725000110,MEI
47280834000161,MEI
47338990000136,MEI
47344453000107,MEI
47365884000141,MEI
47369959000162,MEI
47477149000120,MEI
47485578000149,MEI
47514686000100,MEI
47519604000102,MEI
47548773000170,MEI
47639787000108,MEI
47664266000100,MEI
47673808000101,MEI
47698216000136,MEI
47700385000163,MEI
47724453000124,MEI
47733713000128,MEI
47757906000119,MEI
47774595000104,MEI
47776928000126,MEI
47805040000174,MEI
47845605000147,MEI
47871358000153,MEI
47922237000193,MEI
47962041000122,MEI
47965760000105,MEI
47976620000124,MEI
48029352000104,MEI
48044928000102,MEI
48054709000104,MEI
48058896000196,MEI
48133473000193,MEI
48155929000116,MEI
48170511000188,MEI
48174399000153,MEI
48202068000180,MEI
60984366000174,MEI
66527284000187,MEI
93585099000111,MEI
10267859000115,MEI
10488892000175,MEI
10632439000190,MEI
11213381000103,MEI
11352495000134,MEI
11732340000123,MEI
11869546000108,MEI
11908632000174,MEI
11921815000120,MEI
11957163000183,MEI
12338253000159,MEI
12687375000150,MEI
12882714000150,MEI
13029089000160,MEI
13115379000127,MEI
13425810000131,MEI
14005735000112,MEI
14618024000113,MEI
14626289000163,MEI
14751991000159,MEI
